date,residuals
1988-10-14,4.64
1988-10-27,3.67
1988-11-15,0.53
1988-11-28,0.68
1988-12-14,4.35
1988-12-28,3.98
1989-01-13,4.23
1989-01-27,-0.16
1989-02-14,7.72
1989-02-28,2.4
1989-03-14,4.18
1989-03-28,5.11
1989-04-14,6.35
1989-04-28,3.63
1989-05-16,7.22
1989-05-29,6.89
1989-07-14,8.34
1989-09-01,-8.51
1989-09-14,6.87
1989-09-28,1.77
1989-10-13,3.88
1989-11-14,-1.8
1989-11-28,-5.38
1989-12-14,-0.98
1989-12-28,-2.18
1990-01-14,-2.68
1990-01-29,1.59
1990-02-15,4.64
1990-02-28,9.12
1990-03-14,0.54
1990-03-28,-2.38
1990-04-13,1.75
1990-04-27,4.44
1990-05-14,11.27
1990-05-28,8.46
1990-08-14,2.07
1990-08-28,4.26
1990-09-14,3.87
1990-09-27,-0.81
1990-10-14,1.57
1990-10-28,-4.2
1990-11-14,3.29
1990-11-28,2.09
1990-12-14,0.67
1991-01-14,6.12
1991-01-28,0.08
1991-02-14,-10.76
1991-02-28,3.31
1991-03-14,4.47
1991-04-15,-1.64
1991-04-29,-2.19
1991-05-28,14.06
1991-06-14,6.95
1991-06-27,7.36
1991-07-15,14.07
1991-07-29,13.23
1991-08-14,7.74
1991-08-28,2.07
1991-09-13,3.67
1991-09-27,2.87
1991-10-28,-6.66
1991-11-14,-2.27
1991-11-28,-3.9
1991-12-13,-5.44
1991-12-30,-7.66
1992-01-14,-3.57
1992-01-28,-7.55
1992-02-14,-1.92
1992-02-28,-5.76
1992-03-14,-6.66
1992-03-24,3.63
1992-04-28,7.55
1992-05-14,-0.4
1992-07-14,-0.14
1992-07-28,-6.99
1992-08-27,2.61
1992-09-14,0.52
1992-09-28,-2.51
1992-10-14,-5.09
1992-10-28,0.36
1992-11-13,-4.69
1992-11-27,-4.97
1992-12-14,0.42
1993-01-14,-2.37
1993-01-28,2.79
1993-02-15,-20.11
1993-02-26,-22.87
1993-03-15,-3.38
1993-04-14,-5.65
1993-04-28,-6.75
1993-07-14,-19.82
1993-07-28,-3.19
1993-08-13,6.02
1993-08-27,7.48
1993-09-14,7.13
1993-09-28,4.19
1993-10-28,-0.74
1993-11-15,-1.05
1993-11-29,-2.67
1993-12-14,4.05
1994-01-14,-9.78
1994-01-27,-2.71
1994-02-14,-12.37
1994-02-28,-3.81
1994-03-14,1.51
1994-04-14,-2.33
1994-04-28,-3.36
1994-05-16,6.6
1994-06-14,5.82
1994-07-14,1.49
1994-07-28,-2.74
1994-08-15,-3.86
1994-08-29,-0.73
1994-09-14,1.3
1994-09-28,-2.27
1994-10-28,0.9
1994-11-14,-5.21
1994-11-28,-3.93
1994-12-14,-4.83
1995-01-13,0.07
1995-01-27,6.89
1995-02-14,2.88
1995-02-28,-0.73
1995-03-14,-6.25
1995-03-28,2.9
1995-05-15,1.95
1995-05-29,2.46
1995-07-14,3.0
1995-08-14,-4.24
1995-09-14,-2.88
1995-09-28,1.5
1995-10-27,0.26
1995-11-14,1.47
1995-11-28,-9.2
1995-12-14,-10.0
1996-01-15,2.46
1996-01-29,-14.01
1996-03-14,-16.1
1996-03-28,-1.94
1996-04-15,0.89
1996-04-29,-0.61
1996-05-14,5.14
1996-05-28,0.01
1996-07-15,-1.84
1996-09-13,-4.79
1996-09-27,-1.27
1996-10-14,-5.04
1996-11-14,1.32
1996-11-28,-0.84
1996-12-13,-0.89
1997-01-14,-6.96
1997-01-28,-8.09
1997-02-12,13.84
1997-03-14,2.49
1997-03-28,-1.52
1997-04-14,-0.68
1997-05-27,4.95
1997-07-14,4.68
1997-07-28,6.29
1997-08-14,5.27
1997-08-28,13.54
1997-09-15,2.45
1997-09-29,-6.32
1997-10-14,-19.64
1997-10-28,-3.54
1997-11-14,-7.79
1997-12-12,-2.01
1998-01-14,0.52
1998-01-28,-1.91
1998-02-13,9.05
1998-03-13,0.37
1998-07-15,5.82
1998-07-29,10.75
1998-10-15,-3.54
1998-10-28,5.46
1998-11-13,9.12
1998-11-27,1.7
1998-12-15,3.57
1999-01-15,5.11
1999-01-29,0.32
1999-02-15,-0.83
1999-03-01,3.5
1999-03-15,-0.77
1999-03-29,-2.16
1999-04-23,5.31
1999-09-14,-7.26
1999-09-28,-8.66
1999-10-14,-10.65
1999-10-28,-11.79
1999-11-15,-6.87
1999-11-29,-6.36
1999-12-14,0.14
1999-12-28,-0.05
2000-01-14,-1.99
2000-01-28,-3.42
2000-02-14,2.48
2000-02-28,3.28
2000-03-14,-3.64
2000-03-28,2.69
2000-04-14,3.35
2000-04-28,-1.19
2000-05-15,7.6
2000-05-29,-0.28
2000-06-14,4.36
2000-06-28,3.48
2000-07-14,-2.58
2000-07-28,2.19
2000-08-14,3.28
2000-08-28,-6.2
2000-09-14,1.29
2000-09-28,1.16
2000-10-13,2.03
2000-10-28,3.3
2000-11-14,7.35
2000-11-28,2.03
2000-12-14,6.7
2000-12-28,1.48
2001-01-15,1.9
2001-01-28,-0.21
2001-01-29,0.98
2001-02-14,2.71
2001-02-28,0.0
2001-03-14,1.01
2001-03-28,2.13
2001-04-14,-1.47
2001-04-28,0.07
2001-05-14,9.29
2001-05-28,10.92
2001-06-14,11.5
2001-06-28,4.19
2001-07-14,0.43
2001-07-28,1.03
2001-08-14,6.48
2001-08-28,3.22
2001-09-14,0.41
2001-09-28,3.81
2001-10-15,-7.2
2001-10-27,-2.27
2001-12-14,-1.31
2001-12-28,-1.42
2002-01-14,-1.94
2002-01-28,1.87
2002-02-14,4.35
2002-02-28,6.18
2002-03-28,-5.31
2002-04-14,-6.45
2002-04-28,-2.35
2002-05-14,5.75
2002-05-28,6.92
2002-06-14,2.68
2002-06-28,2.06
2002-07-14,0.82
2002-07-28,2.3
2002-08-14,-2.21
2002-08-28,-7.28
2002-09-14,-1.25
2002-09-28,-2.26
2002-10-14,-7.83
2002-10-28,-12.63
2002-11-14,-3.65
2002-11-28,-4.92
2002-12-14,-8.26
2002-12-28,-6.26
2003-01-14,-7.53
2003-01-28,-1.08
2003-02-14,-0.01
2003-02-28,-4.09
2003-03-14,-0.75
2003-03-28,0.77
2003-04-14,2.74
2003-04-28,1.4
2003-05-14,2.73
2003-05-28,0.8
2003-06-14,6.47
2003-06-28,4.35
2003-07-14,5.51
2003-07-28,-2.37
2003-08-14,0.31
2003-08-28,-2.55
2003-09-14,-4.14
2003-09-28,-3.91
2003-10-14,-4.04
2003-10-28,-11.28
2003-11-14,-11.32
2003-11-28,-12.05
2003-12-15,-26.06
2003-12-28,-9.67
2004-01-14,-4.69
2004-01-28,-6.12
2004-02-14,0.21
2004-02-28,0.06
2004-03-15,-0.22
2004-03-27,-0.27
2004-04-14,1.27
2004-04-28,6.22
2004-05-14,4.64
2004-05-28,4.47
2004-06-14,1.25
2004-06-28,3.57
2004-07-14,2.46
2004-07-30,3.76
2004-08-14,-2.86
2004-08-28,-0.91
2004-09-14,0.02
2004-09-28,0.4
2004-10-28,-1.27
2004-11-13,-5.85
2004-11-27,-2.74
2004-12-14,1.55
2004-12-28,-7.82
2005-01-14,-4.84
2005-01-28,-1.95
2005-02-14,-8.53
2005-02-28,-1.99
2005-03-14,4.26
2005-03-26,-0.47
2005-04-14,-0.52
2005-04-28,4.06
2005-05-14,7.08
2005-05-30,6.31
2005-06-14,4.54
2005-06-28,3.03
2005-07-14,4.66
2005-07-28,0.9
2005-08-13,8.88
2005-08-27,8.19
2005-09-14,7.2
2005-09-28,7.37
2005-10-14,0.63
2005-10-28,0.91
2005-11-14,-1.9
2005-11-28,-5.02
